Is Spam,"In your own words, what is PrEP?","In your own words, what is PEP?",How would you best describe U=U to someone else? (Even if you are uncertain)
1,It's a med I take to prevent HIV,Pep is a med you take after a possible exposure to HIV to prevent infection,
1,,,"When HIV is fully suppressed, there is no risk of passing it on."
1,,,No detectable virus = No sexual transmission
1,,,
1,,,
1,,,
1,,,"Leading global health organizations (including UNAIDS, WHO, and the CDC) officially endorse and supp"
1,,,
1,,,
1,,,I want you to make sure you use HIV drugs everyday so you won’t get someone infected with HIV
1,,,If you don’t know what causes an infection it will be easily transmitted
1,,,means a person with HIV who has an undetectable viral load cannot transmit it to others through sex
1,,,
1,,,
1,Drugs that are administered before one is infected to prevent infection,This is medicine that is given to cure infection,
1,Prep is a pill that is consumed to prevents HIV,"I see it as  99 percent effective for preventing HIV, you take the dose well",
1,Prep is a pill that prevents HIV,"Pep is 99 percent effective for preventing HIV, you take the dose well",
1,,,
1,,,Great job
1,,,It’s a treatment that makes me unable to transfer the virus through sex
1,,,Effective treatment that helps in prevention of transmitting HIV to others through sex
1,,,
1,,,To not be able to detect something that will make it not transmitted.
1,,,It’s a treatment that makes the virus low and not transmitted through sex
1,,,Treatment for not getting infected with HIV when having sex
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,This is when the viral load is reduced due to correct usage of drugs
1,,,It's a treatment that prevent the individual from sexually transmitting the virus
1,,,This is a situation where the drugs makes the viral load undetectable in a person with HIV
1,,,This is when the viral load in an HIV patient is not detectable due to usage of drug
1,,,"U=U is a treatment that once effective, the individual cannot sexually transmit the virus"
1,,,It means that individuals with HIV who maintain a viral load cannot transfer the virus sexually
1,,,This is when the drugs used by a patient makes the viral load minimal.
1,,,This is when the antiretoviral drugs makes the viral load undetectable in a patient
1,,,
1,,,
1,,,
0,Preventative medicine to protect from HIV,,
1,,,
1,,,My cd4 count is so low it can’t be detected so I can’t transmit.
1,,,
1,,,
1,,Post exposure prophylaxis,
1,HIV prevention medication,,
1,,,
1,HIV prevention,,
0,Not showing signs and symptoms of the exposure,,
1,,,"That if it is undetected, there’s no way it can be transmitted"
1,It is a pill takento prevent hiv,This is taken after one has been exposed to HIV.,
1,,,
1,Prep is a tool or prevent measure against HIV,PEP is is short term treatment designed to stop HIV from spreading,
1,,,
1,,It reduces the activity of disease pathogens in the body,
1,,,
1,,,
1,,,
1,,,Bacteria
1,,,Undetectable = Untransmittable
1,,,Keep your viral load to a level where it’s undetectable and cannot be transmitted
1,,,Drugs that make viral load undetected
1,,,
1,,,
1,,,You can think of viral load as volume; the medication turns the volume down so the instrument can't
1,,,"Think of U=U as a ""silent firewall"": the virus is imprisoned within the body by the medication, unab"
1,It is what I usually describe as a shield against HIV,It is what I usually describe as a shield against HIV,
1,Neutralizing the virus at the point of entry.,The final chance to prevent permanent infection after the virus is present.,
1,,,Something that suppress a condition
1,Medication taken to prevent HIV infection,Emergency medication taken after a possible exposure to HIV to prevent infection,
1,,,
1,,,
1,,,
1,,,
1,,,I would describe U=U as a prevention message: if someone’s HIV is suppressed so well that their test
1,,,
1,,,I would explain that when a person living with HIV takes their medication as prescribed and reaches
1,,,
1,,,
1,,,
1,,,Undetectable means un transmittable
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,Untransmittable
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,A preventive medication taken daily or as needed by HIV to reduce the risk of getting HIV,Emergency medication taken after a potential exposure to HIV to prevent infection,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,"This zero transmission risk applies to vaginal, anal, and oral sex, even without condoms or PrEP."
1,,,
1,,,
1,,,
1,,,
1,HIV / Aids preventative medicine,,
0,Prepare myself for What Could Happen,,
1,,,
1,,,
1,,,
0,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I think that it means that it is not able to transmit or pass to another person due to less copies
1,A preventative,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I am not sure if it will be a drug or injection
1,,,
1,,,
1,,,Maintaining an undetectable viral load also protects the person’s own health by preventing HIV from
1,,,The way of not getting infected with HIV
1,,,"If I had to describe U=U simply, I would say it is a key health guideline meaning an undetectable HI"
1,,,
1,,,
1,,,
1,,,I describe U=U as a public health truth: Undetectable = Untransmittable. If I’m living with HIV and
1,,,
1,,,
1,,,It can't be detect
1,,,I don't know
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,It means people with undetectable HIV cannot transmit it sexually.
1,,,
1,,,
1,,,Prevention from STI
1,,,
1,,,I can’t say
1,,,
1,,,
1,,,
1,,,U=U (Undetectable = Untransmittable) means that a person living with HIV who maintains an undetectab
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I never ear
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,U=U means a person with HIV who has an undetectable viral load cannot pass HIV to others through sex
1,,,It shows that HIV medicine protects both the person taking it and their partner.
1,,,It’s a science-backed message that HIV treatment prevents spread.
1,,,It explains that undetectable equals uninfectious (through sex).
1,,,It means effective treatment makes HIV impossible to transmit sexually.
1,,,"If someone’s viral load is undetectable, they cannot sexually transmit HIV to others."
1,,,"When the virus is undetectable, it’s not strong enough to be transmitted through sex."
1,,,U=U means viral suppression stops sexual transmission of HIV.
1,,,
1,,,
1,,,It’s a message of hope: HIV can be managed so well that it doesn’t get passed to others.
1,,,U=U means taking HIV treatment consistently can make the risk of passing HIV essentially zero during
1,,,It means “no detectable virus = no sexual transmission risk.”
1,,,People living with HIV who stick to their medication and reach an undetectable level don’t pass HIV
1,,,U=U is a scientific finding that reduces fear and stigma around HIV.
1,,,"When HIV is undetectable in the blood, it can’t be spread to a partner."
1,,,
1,,,U=U is a scientific fact that effective HIV treatment prevents sexual transmission.
1,,,U=U shows that proper treatment not only keeps a person healthy but also protects their partners.
1,,,U=U means taking HIV treatment consistently can make the risk of passing HIV essentially zero during
1,,,U=U means HIV treatment can lower the virus to levels so small that it can’t be passed on through se
1,,,"When HIV is controlled to undetectable levels, it can’t be transmitted to partners."
1,,,U=U is a scientific finding that reduces fear and stigma around HIV.
1,,,It shows that medication can reduce HIV to harmless levels for partners.
1,,,It’s the idea that effective HIV treatment makes the virus unspreadable sexually.
1,,,U=U means HIV medication can reduce the virus so much that it can’t be transmitted through sex.
1,,,U=U means a person with HIV who has an undetectable viral load cannot pass the virus through sex.
1,,,"If HIV medication works well and the virus is undetectable, transmission doesn’t happen during sex."
1,,,U=U is a scientific finding that reduces fear and stigma around HIV.
1,,,It’s proof that HIV can be controlled and made non-transmittable.
1,,,"When HIV is controlled to undetectable levels, it can’t be transmitted to partners."
1,,,"When HIV is controlled to undetectable levels, it can’t be transmitted to partners."
1,,,"When someone with HIV takes treatment and their viral load becomes undetectable, they cannot pass HI"
1,,,U=U means that a person living with HIV who has an undetectable viral load cannot pass the virus to
1,,,
1,,,"If HIV is undetectable in the blood, it is effectively untransmittable to others during sex."
1,,,"It means “undetectable equals untransmittable,” so the virus is controlled to the point it can’t spr"
1,,,If someone living with HIV takes their treatment consistently and reaches an undetectable viral load
1,,,When a person have HIV and it almost undetectable and also cannot transmit it to any person
1,,,U=U is based on strong scientific studies and is widely supported by health experts.
1,,,
1,,,U=U represents a breakthrough in HIV science that has been validated through multiple global studies
1,,,"If a person living with HIV takes treatment consistently and reaches an undetectable viral load, the"
1,,,
1,,,
1,,,It means I can’t transfer hiv and it won’t be noticeable on me.
1,,,I don't know about I bur I feel it is prevention for HIV
1,,,"means if your HIV viral load is undetectable, you can’t pass it on sexually"
1,,,
1,,,
1,,,
1,,,
1,,,Not really
1,,,It's used to keep HIV from being transmitted
1,,,
1,,,
1,,,
1,,,
1,It simply means exposure before prophylaxis,Prophylaxis after exposure,
1,,,
1,,,It means people living with HIV who stay on treatment can't pass it on.
1,,,
1,A pill to prevent HIV,,
1,,Emergency medicine,
1,,,
1,It’s a way to protect yourself from HIV if you may be at risk.,It’s medicine that must be taken within 72 hours after a risky situation to be effective.,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I would say it's a way to say you have it but you won't know that and it's those not just transmit l
1,Pre Information,,
1,,,
1,,,Something that's can't be detected
1,,,U=U clarifies that “untransmittable” applies specifically to sexual transmission when viral load rem
1,,,It’s to control HIV from spreading
1,,,It’s a medication I think.
1,,,It’s state people living with HIV cannot transmit it
1,,,If you’re consistent with your drugs you won’t get another person infected
1,,,It means undetectable is equal to untransmittable
1,,,U=U means that staying on my medication protects both my health and my partner.
1,,,
1,,,
1,,,I don't know actually
1,,,Effective treatment to prevent HIV transmission through sex
1,,,It’s great
1,,,Great and amazing
1,,,
1,,,Great and amazing
1,,,
1,,,
1,HIV preventive drug,HIV Emergency Medicine,
1,,,
1,,,
1,,,It is the scientific fact that effective HIV treatment prevents the sexual transmission of the virus
1,,,Great and amazing
1,,,
1,,,
1,,,
1,,,
1,PEP means Post-Exposure Prophylaxis.,PEP means Post-Exposure Prophylaxis.,
1,,,"U=U means that viral suppression is the key goal of HIV treatment, not only for health but also for"
1,,,
1,,,
1,,,
1,,,
1,,,is a clear statement about modern HIV treatment success. If someone maintains an undetectable viral
1,,,It explains that people with undetectable viral loads cannot pass HIV to sexual partners
1,,,"When asked, I say U=U is like having a switch. Once I reach undetectable on my meds, the switch flip"
1,,,
1,,,
1,,,
1,,,"U=U means that when someone living with HIV has an undetectable viral load, they cannot pass the vir"
1,,,U=U means that a person living with HIV who follows their treatment as prescribed and reaches
1,,,
1,,,"U=U helps break the stigma, showing that undetectable HIV is not contagious."
1,A prep is a pill for preventing hiv,,
1,,,Undetectable = Untransmittable helps reduce stigma around people living with HIV
1,,,U=U is backed by science showing zero sexual transmission when viral load is undetectable
1,,,
1,A medication taken before potential exposure to prevent HIV infection,An emergency treatment to prevent HIV infection after a potential exposure,
1,,,
1,,,It means that HIV cannot be transmitted through some process
1,,,
1,,,
1,,,
1,,,HIV prevention drugs or injections
1,,,
1,,,"Thanks to U=U, people with HIV no longer face the stigma of being contagious."
1,PrEP sounds like a safety net for people who know they might be at higher risk.,"PEP, in my eyes, is a backup plan for when prevention fails or is not used. Life can get messy and d",
1,,,
1,Prep is a health preventive measure taken before exposure of a disease,PEP is a kind of treatment taken after the person thinks he/she has been exposed to a disease,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,If a person living with HIV takes their medication consistently and gets their viral load down to an
1,,,
1,,,"If HIV is suppressed to undetectable levels, it becomes untransmittable sexually"
1,It is a medication that helps lower my risk of getting HIV when taken consistently,PEP is an emergency medication you take after a possible exposure to HIV to prevent infection,
1,,,
1,,,
1,,,
1,,,"Whenever I need to describe U=U, I focus on its practical and life-changing impact for those with HI"
1,,,
1,t stops HIV from making copies of itself if the virus enters the body.,Works by stopping the virus from taking hold in your cells after entry.,
1,,,
1,,,
1,,,
1,,,I will think of it as an injection that subdues HIV
1,,,
1,,,
1,,,
1,,,
1,Taking PrEP daily can significantly reduce the risk of HIV.,It’s a short-term treatment that can reduce the chances of HIV infection.,
1,,,
1,,,
1,,,
1,,,is a scientific finding that shows people with undetectable HIV levels do not spread the virus
1,,,
1,,,
1,,,
1,,,
1,,,
0,Prevents hiv,Like a morning after pill for stds,
1,,,means HIV treatment can lower the virus so much that it cannot be sexually transmitted.
1,,,Undetected viruses cannot be transmitted
1,,,It means as long as I'm consistent with treatment and stay undetectable
1,,,That HIV can not be passed on sexually
1,PrEP is a scientific game-changer that decouples HIV prevention from the heat of the moment. I no lo,"PEP is the urgent, temporary bridge I cross when I’ve walked into danger unknowingly. Perhaps a cond",
1,,,shows that people with undetectable HIV cannot pass the virus to sexual partners.
1,,,"U=U is officially endorsed by major global health bodies including the WHO, UNAIDS, and CDC."
1,,,U=U (Undetectable = Untransmittable) means that if a person with HIV is on effective treatment (ART)
1,,,U=U tells me that my undetectable status makes it impossible for me to pass HIV sexually
1,,,means a person with HIV on treatment cannot pass it on if the virus is undetectable.
1,,,Undetectable equals untransmittable. My treatment keeps the virus very low
1,,,"U=U is freedom. I take my pills, stay undetectable, and sex is safe for my partner"
1,,,Imagine the virus is suppressed through medicine that it cant be transmit
1,,,"If HIV is undetectable, it cannot be passed on through sex."
1,,,"I explain it in simple terms. If the virus can't be detected, it can't be passed on sexually"
1,,,Suppressing HIV till it get low that it can not be found or pass to another person
1,,,I think U=U means that effective HIV care benefits both individual health and public health
1,,,Undetectable equals untransmittable.
1,,,
1,,,
1,,,Consistent treatment makes the virus undetectable and therefore impossible to transmit sexually.
1,,,Undetectable untransmittable is an effective measure for HIV patients
1,,,
1,,,
1,,,
1,,,making it impossible to transmit any sexually diseases
1,,,
1,,,Not very sure what it means
1,,,It means if a person with HIV is on treatment and their viral load is undetectable in the blood.
1,,,It represents how medical treatment can suppress HIV to levels that cannot be passed to a partner.
1,,,
1,HIV prevention medication,PEP is medicine taken after possible exposure to HIV to help prevent infection.,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,No spread
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,U=U means people living with HIV who maintain an undetectable
1,,,means something completely different.
1,,,
1,,,its a drug that makes the virus untransmittable.
1,,,its a medication which helps HIV patients not transmit the diseas to people.
1,,,its a drug that makes the virus untransmittable.
1,,,its a drug that makes the HIV  virus untransmittable and undetectable.
1,,,its a drug that makes the virus untransmittable.
1,,,U=U means that when a person living with HIV takes treatment and reaches an undetectable viral load
1,,,its a drug that makes the virus untransmittable.
1,,,its a drug that makes the HIV  virus untransmittable and undetectable.
1,,,It’s when a person living with HIV is on effective treatment cannot transmit it to others
1,,,its a medication which helps HIV patients not transmit the diseas to people.
1,,,its a medication which helps HIV patients not transmit the diseas to people.
1,,,its a drug that makes the HIV  virus untransmittable and undetectable.
1,,,its a drug that makes the HIV  virus untransmittable and undetectable.
1,,,its a drug that makes the virus untransmittable.
1,,,
1,,,its a drug that makes the virus untransmittable.
1,,,it makes the HIV virus u transmittable to others.
1,,,untransmittable.
1,,,its a modern medication for HIV patients.
1,,,it is i
1,,,it is a medication which helps make the virus undetectable.
1,,,it is a medication that makes the virus undetectable by usual methods.
1,,,it is a medication that makes the HIV virus untransmittable
1,,,I know its a special medication which help keep the HIV virus untransmittable.
1,,,its a system that keep patient family and friends safe around them.
1,,,its a modern technology for HIV  patients
1,,,it helps keep the virus contained.
1,,,its some sort of medication to prevent friends from contacting
1,,,it is a special medication which allows HIV patuent to interact well will non-carrier without transm
1,,,"U=U means that when HIV is controlled with medication and becomes undetectable, it cannot be passed"
1,,,Untransmittable
1,,,it a medication for the HIV patients.
1,,,
1,,,it a latest technology to help HIV patients.
1,,,
1,,,If someone living with HIV takes their medication properly and their viral load becomes undetectable
1,,,
1,,,it is a some medication that HELPS HIV virus carrier to not transmit the virus easily.
1,,,Is just for you not to transmit the hiv
1,,,It’s when you take your prescribe meds always
1,,,Using meds regularly so you won’t transmit to someone else
1,,,Someone that’s have HIV but can not be transmitted due to proper treatment
1,,,
1,,,U=U means that when someone with HIV takes their medication properly they cannot transmit it to
1,,,
1,Prep is a pill that prevents HIV,"Pep is 99 percent effective for preventing HIV, you take the dose well",
1,,,
1,Prep is a pill which prevents HIV virus,It is an effective way of preventing HIV by taking the prescribed dose,
1,,,
1,,,
1,,,It's a health education message used in hiv campaign.
1,,,
1,,,About health
1,,,"U=U stands for “Undetectable equals Untransmittable,” meaning HIV cannot be sexually transmitted"
1,,,
1,,,
1,,,"It means medicine works so well, that the virus is suppressed. So suppressed it can't be passed on."
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,Medication to prevent HIV and not all STD's,It is to kill the possible exposure to the virus for HIV,
1,,,"It  means HIV treatment works so well that when the virus gets to “undetectable” levels, that person"
1,,,
1,,,
1,,,If a person living with HIV takes their medication consistently
1,,,
1,,,"If the virus is undetectable in a person, it is also untransmittable through sex"
1,,,
1,,,
1,,,When someone living with HIV is on effective treatment and their viral load becomes undetectable
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,"U=U means that when HIV is controlled with medication and becomes undetectable, it cannot be passed"
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,Prep is pill that prevent HIV,It 99 percent for preventing HIV,
1,,,U=U reminds me that being undetectable means I’m not a risk to others sexually
1,,,
1,,,
1,,,U=U means that a person living with HIV who maintains an undetectable viral load through treatment c
1,,,"U=U, or Undetectable = Untransmittable, is a scientifically proven fact that people living with HIV"
1,,,U=U means you can live a full life without the fear of transmitting HIV to others.
1,,,"Basically, U=U is saying that if the viral load is undetectable, the virus can't spread."
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,Pills that help avoid hiv,,
1,,,I believe that effective treatment ensures the virus is not passed to others.
1,Prep is a drug that is used to stop HIV,Prep is a drug that stops or prevent HIV,
1,,,
1,,,
1,,,
1,,,"U=U, or Undetectable = Untransmittable, is a scientifically proven fact that a person living with HI"
1,,,
1,Not meant for one-time use after a specific accident.,"Every hour matters; the sooner it is started, the better.",
1,,,Taking HIV medication can make ones viral load very undetectable
1,Prep is a meds for HIv,Prep is a meds for HIv,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I am certain that maintaining an undetectable viral load prevents sexual HIV transmission.
1,,,
1,,,
1,,,
1,,,It is suppressed to where it cannot be transmitted
1,,,
1,,,I have heard it but not knowing what it really means
1,,,
1,,,
1,,,
1,,,"Many people who test negative are willing to date those who test positive but can't be detected, pre"
1,,,
1,,,
1,,,
1,,,"When I try to explain U=U, I say it’s a proven fact that people with HIV who are undetectable cannot"
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,Taking medicine today to prevent an infection tomorrow.,The viral equivalent of emergency contraception.,
1,,,
1,,,
1,A HIV preventive measure,,
1,,,
1,,,
1,,,cannot sexually transmit HIV to their partners
1,it is a preventive medication taken by HIV negative people to reduce the risk of infection,It is a emergency medication taken within 72hours after potential HIV exposure to prevent infection,
1,,,
1,,,
1,Pre exposure prophylaxis,Pre Exposure Prophylaxis,
1,Like a predisposed factor of caring,,
1,,,
1,,,"If your viral load is undetectable, U=U shows that transmission is not possible."
1,,,U equals U means undetectable equals untransmittable
1,,,is that it connects science to real life safety. If someone is undetectable
1,,,"U equals U as a direct link between treatment success and prevention. If HIV is undetectable,"
1,It is a medication for preventing HIV.,A medication taken after someone is suspected to have engaged in acts likely to cause HIV.,
1,,,
1,,,
1,,,
1,,,"U=U is an awareness message that promotes testing, treatment, and understanding that undetectable HI"
1,It's a drug that helps prevent HIV,I see pep as a drug that can help in prevention and control of HIV,
1,,,
1,,,If it's not detected then you can't transmit it
1,,,
1,,,
1,,,
1,,,
1,,,I would describe U equals U as a health truth that empowers people.
1,,,It ns a person living with HIV who is on consistent treatment and has an undetectable viral load can
1,,,
1,"PrEP works by preparing your body ahead of time. If HIV enters, it struggles to take hold.",PEP works by interrupting HIV early after exposure,
1,,,Undetectable viral load means the virus is so low it cannot be passed on through sex
1,,,"It tells me that if treatment brings the virus down to undetectable levels, it also removes the risk"
1,,,think of U equals U as a scientific reassurance. It means undetectable viral load equals no sexual t
1,,,U equals U means that HIV in the blood can be reduced so much by treatment that it becomes undetecta
1,,,"When the virus is kept low when taking medication, it can’t be transmitted"
1,,,HIV that is not undetectable can not be transmitted through sex
1,,,Taking medication to makes the virus not detectable and unrransmittable
1,,,It means consistent treatment can reduce HIV so much that it becomes untransmittable sexually.
1,PrEP represents progress in medicine. It is prevention before infection instead of treatment after i,PEP represents a second chance in medical form. If exposure happens,
1,,,"U equals U, to me, is about breaking fear cycles. If HIV is undetectable, it cannot be passed on sex"
1,"Pre exposure, a precaution that helps build a defense in your body  against HIV",A pill that gives you resistance to have antibioties after an exposure,
1,,,
1,,,I think it means people with HIV on treatment and undetectable viral load can’t transmit HIV
1,It's 99% effective.,It's not a daily medication.,
1,,,I would say it means that when a person living with HIV takes their medication consistently and reac
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,HIV prevention medicine,,
1,,,
1,,,
1,Prevention from getting infected,After care to avoid getting infected,
1,,,
1,,,
1,,It ia a medication used after exposure to prevent infection,
1,,,
1,Pre pill to prevent one from getting infected,Post injection for protection from hiv,
1,,,It means the HIV viral count is low that it becomes not transferrable or detected by medical tests
1,,,"If a person has an undetectable viral load, they cannot transmit HIV"
1,,,
1,PrEp is what we to prevent hiv,Post is the pill or injection we take after not sure if one have contact hiv,
1,,,
1,Prep is a pill used to prevent HIV,,
1,,,
1,,,
1,Prep is a pill prevents HIV.,Prep is a pill prevents HIV.,
1,,,
1,PrEP is medication taken ahead of time to protect yourself from HIV,PEP is medication taken after a risky situation to help stop HIV,
1,,,
1,,,I am certain that successful treatment prevents the virus from being shared sexually.
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,Effective therapy lowers HIV so much it can not be sexually transmitted.
1,,,U=U means undetectable viral load makes HIV untransmittable during sex.
1,It is used to prevent HIV infection,It's a pill that is used to avoid being infected by HIV,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,It literally means undetectable is equal to untransmittable
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,"I would say U=U means if HIV is undetectable in the body, it cannot be transmitted through sex."
1,,,U=U means those ninjas are so well-managed by medicine that they're basically invisible.
1,A pill for prevention against hiv,,
1,,,
1,Prep is a pill or injection which is used to prevent HIV,I see prep as a use to prevent HIV,
1,,,
1,,,
1,,,
1,,,It means that maintaining an undetectable status prevents the sexual transmission of HIV.
1,,,
1,,,
1,,,
1,,,
1,,,"If I need a clear explanation of U=U, I will share that it covers both medical facts and social prog"
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,It requires a prescription from a doctor.,Health workers use it after needle stick injuries.,
1,,,
1,,,
1,,,I always explain U=U by breaking down its full meaning and real-life benefits for HIV communities. I
1,,,I would explain U=U as an essential awareness term that redefines HIV safety for modern times. It me
1,,,People should be cautious about
1,,,Taking daily HIV pills keeps the virus hidden and non-transmittable.
1,,,
1,,,Its makes the virus incommunicable when medication is used accordingly
1,,,Its means someone taking medication at due time to suppress the virus
1,,,People with HIV can date
1,,,
1,,,With treatment HIV can become untransmittable
1,,,
1,,,
1,,,
1,,,
1,It’s a way to protect yourself regardless of what a partner does.,It is a 28-day treatment cycle.,
1,,,
1,,,
1,,,
1,,,How medications reduces viral load and controls transmission
1,,,Sticking to prescription reduces viral load and helps in preventing transmission
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,Taking medication to makes the virus undetectable
1,,,HIV can't be transmitted since it is not detectable
1,,,HIV cannot be transmitted since it is undetected
1,,,Unable to tramit HIV because it is not detected
1,,,Undetected HIV can't be transmitted
1,PrEP is like a format of avoiding or preventing HIV infection.,PEP is a medication taken after possibly exposing oneself to HIV,
1,,,
1,I believe PrEP is being in a process of a avoiding or like an antidote to avoid HIV.,PEP means a medication taken after a possible exposure to the virus.,
1,This is a like a vaccine taken in other to avoid to getting HIV,This is a medication taken after an intercourse when someone feels they might have HIV,
1,,,
1,PrEp it’s a way for people who do not have HIV to protect themselves from getting it.,PEP is like a backup plan if you think you’ve been exposed.,
1,,,It means it can't be transmitted easily
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
0,,,It's an unknown virus
0,,,
1,,,I have no idea what this is but I can see undetectable
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,common
1,,,
1,,,very common
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,when an individual living with hiv takes their prescription regularly it can no longer be detected…
1,,,it's a type of medication
1,,,
1,,,
1,I think it’s meds for HIV exposure,It’s is a medication for post HIV exposure,
1,,,
1,,,I think U=U means if it can’t be detected then there is no way it can be transmitted to other people
1,PrEP is a medicine people can take to help prevent getting HIV. It’s for people who don’t have HIV b,PEP is a short-term medicine you take after you might have been exposed to HIV. It’s basically an em,
1,PrEP is a medicine people take to help prevent getting HIV. It’s usually a pill you take every day (,,
1,PrEP is a daily medicine that helps prevent HIV before someone is exposed to it.,PEP (Post-Exposure Prophylaxis) is a short-term emergency medicine people take after they may have b,
1,"In my own words, PrEP is a medicine that someone who does not have HIV can take to protect themselve",,
1,,,Sexual liberation
1,,,
1,,,
1,,,
1,It’s a tool for sexual freedom and confidence.,"After 72 hours, it’s generally not effective.",
1,,,
1,,,
1,,,
1,Pre exposure paralysis,Post exposure,
1,,,Zero sexual risk
1,Pre Exposure to disease or infection.,Post Exposure to infection or disease.,
1,,,
1,,,
1,,,
